,0,1,2,3,4
0,Number of Handloom Establishments and Looms 2011,,,,
1,"
Upazila/city corporation","
Number of units (factory)",Number of loom,Number of loom,Number of loom
2,"
Upazila/city corporation","
Number of units (factory)",Operational,"Non-
operational",Total
3,Batiaghata,0,0,0,0
4,Dacope,0,0,0,0
5,Dighalia,0,0,0,0
6,Dumuria,0,0,0,0
7,Khulna City Corporation,0,0,0,0
8,Koyra,0,0,0,0
9,Paikgachha,0,0,0,0
10,Phultala,300,260,40,300
11,Rupsa,0,0,0,0
12,Terokhada,0,0,0,0
13,Total,300,260,40,300
