,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001  2011 and number of voter 2011",,,,,,,,,,,
1,Habiganj,,,,,,,,,,,
2,,,,,,,,,,,,
3, Upazila,Population (000) - 1981,Population (000) - 1991,Population (000) - 2001,Population (000) - 2011,Literacy rate () - 1981,Literacy rate () - 1991,Literacy rate () - 2001,Literacy rate () - 2011,Number of voter (000) - Male,Number of voter (000) - Female,Number of voter (000) - Total
4,Azmirigonj,76,87,99,114,18.3,22.4,35.3,37.1,32,33,65
5,Bahubal,120,137,167,198,14.0,23.0,37.5,39.8,51,55,106
6,Baniachang,211,235,269,333,14.9,20.8,31.5,34.7,92,76,168
7,Chunarughat,208,233,267,302,17.5,24.2,32.9,40.8,80,87,167
8,Habiganj Sadar,185,214,275,329,25.5,30.6,47.0,50.7,90,93,183
9,Lakhai,93,110,121,149,14.9,21.6,28.8,33.7,41,42,83
10,Madhabpur,200,250,273,319,28.5,23.9,42.1,39.8,84,89,173
11,Nabiganj,224,246,287,345,18.7,26.4,39.4,41.0,93,101,194
12,Total,1317,1512,1758,2089,19.0,24.1,37.7,40.5,563,576,1139
