,0,1,2,3,4,5,6,7
0,"Number of pond, dighee, flood camps, shelter, cyclone shelter, stadium,  playground, park,  amusement park 2011",,,,,,,
1,,,,,,,,
2, Upazila, Pond, Dighee,River flow,Flood camp/ shelter,Cyclone shelter,Stadium/ playground,Park/ amusement park
3,Fulchhari,820,15,2,2,0,0,0
4,Gaibandha Sadar,2478,10,4,0,0,1,1
5,Gobindaganj,6000,227,1,0,0,0,0
6,Palashbari,3960,0,2,0,0,25,1
7,Sadullapur,1077,950,2,2,2,15,0
8,Saghata,2051,1300,3,5,0,7,0
9,Sundarganj,6245,0,3,1,0,28,0
10,Total,22631,2502,17,10,2,76,2
