,0,1,2,3,4,5
0,Daily average wage rate of non-agricultural labour 2011,,,,,
1,,,,,,
2,(Wage in taka) - Upazila,(Wage in taka) - Porter (coolee),(Wage in taka) - Garden labour male,(Wage in taka) - Garden female labour,(Wage in taka) - Other labour (Adult),(Wage in taka) - Other labour (Child)
3,Fulchhari,180,150,120,150,90
4,Gaibandha Sadar,200,150,130,150,100
5,Gobindaganj,200,150,130,150,100
6,Palashbari,200,150,120,150,100
7,Sadullapur,180,150,120,150,100
8,Saghata,190,150,120,150,90
9,Sundarganj,180,150,110,150,90
10,Average,190,150,120,150,100
