,0,1,2,3,4,5
0,Land area based on utilization 2008,,,,,
1,,,,,,
2, Upazila,Operated area,Permanent cropped area,Temporary cropped area,Permanent fallow area, Others
3,Atrai,64300,524,57693,61,6083
4,Badalgachhi,51488,861,43864,77,6763
5,Dhamoirhat,72654,861,63627,233,8166
6,Manda,91729,2085,74332,190,15312
7,Mahadebpur,90393,1235,77067,171,12091
8,Naogaon sadar,63628,1044,53094,288,9490
9,Niamatpur,94958,523,84517,105,9918
10,Patnitala,83487,1507,72836,99,9144
11,Porsha,53650,1556,46312,63,5782
12,Raninagar,59541,364,53118,108,6059
13,Sapahar,58837,1510,51533,51,5794
14,Total,784665,12070,677993,1447,94602
