,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Krishi and Co-operative bank 2011,,,,,,,,,,
1,"
Upazila",Krishi bank,Krishi bank,Krishi bank,Krishi bank,Krishi bank,Co-operative bank,Co-operative bank,Co-operative bank,Co-operative bank,Co-operative bank
2,"
Upazila",Number of branch,Account,Account,Account,Account,Number of branch,Account,Account,Account,Account
3,"
Upazila",Number of branch,S.D,C.D,F.D,S.T.D,Number of branch,S.D,C.D,F.D,S.T.D
4,Gazipur Sadar,4,20136,652,277,39,1,0,0,0,0
5,Kaliakair,3,19745,408,155,21,0,0,0,0,0
6,Kaliganj,2,14,4212,198,14,0,0,0,0,0
7,Kapashia,4,36210,1410,1050,18,1,1000,0,340,0
8,Sreepur,2,1319,295,30,5,0,0,0,0,0
9,Total,15,77424,6977,1710,97,2,1000,0,340,0
