,0,1,2,3,4
0,"Area and production at water melon, melon (bangi) in following years",,,,
1,(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton)
2,Upazila,2010-11,2010-11,2009-10,2009-10
3,Upazila,Area,Production,Area,Production
4,Gazipur Sadar,14,53,28,119
5,Kaliakair,0,0,0,0
6,Kaliganj,28,140,33,168
7,Kapashia,4,4,4,5
8,Sreepur,7,12,7,12
9,Total,53,209,72,304
