,0,1,2
0,Numbers of money exchange agency 2011,,
1,Upazila,"Number of money exchange
agency",Number of employee
2,Gazipur Sadar,51,51
3,Kaliakair,4,4
4,Kaliganj,0,0
5,Kapashia,0,0
6,Sreepur,0,0
7,Total,55,55
