,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry
3, Upazila,Weaving/ handloom,Handy,Husking crafts mill,Goor processing,Biri factory,Salt processing,Dry fish processing,Pottery,Others
4,Gazipur Sadar,0,0,10,12,0,3,43,125,132
5,Kaliakair,110,15,7,2,0,0,0,112,6
6,Kaliganj,43,0,38,0,0,0,0,47,48
7,Kapashia,0,290,3,23,1,0,0,22,0
8,Sreepur,0,4,78,48,0,0,0,0,5
9,Total,153,309,136,85,1,3,43,306,191
