,0,1,2,3,4
0,"Area and production at water melon, melon (bangi) in following years",,,,
1,,,,,
2,(Area in acre and production in metric ton) -  Upazila,(Area in acre and production in metric ton) - 2010-11 - Area,(Area in acre and production in metric ton) - 2010-11 - Production,(Area in acre and production in metric ton) - 2009-10 - Area,(Area in acre and production in metric ton) - 2009-10 - Production
3,Bhedarganj,7,14,6,12
4,Damudya,28,120,26,110
5,Gosairhat,19,32,15,28
6,Naria,0,0,0,0
7,Shariatpur Sadar,41,19,41,19
8,Zanjira,16,20,16,21
9,Total,111,205,104,190
