,0,1,2,3,4,5,6,7,8
0,"Number of madrasah, teacher and student under the madrasah education board 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of madrasah,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
3,Bhedarganj,11,115,11,126,1358,1959,3317,26
4,Damudya,8,114,14,128,1188,1201,2389,19
5,Gosairhat,10,179,6,185,4100,2100,6200,34
6,Naria,6,63,9,72,785,986,1771,25
7,Shariatpur Sadar,12,145,20,165,1180,2142,3322,20
8,Zanjira,10,114,10,124,1279,2503,3782,31
9,Total,57,730,70,800,9890,10891,20781,26
