,0,1,2,3,4
0,Number of different club and store 2011,,,,
1,,,,,
2,Upazila,Sports club,Cultural club,Science club,Other social club
3,Adarsha Sadar,145,295,1,282
4,Barura,45,5,0,5
5,Brahmanpara,7,6,0,110
6,Burichang,4,0,0,1
7,Chandina,0,0,0,1
8,Chauddagram,9,24,0,1
9,Comilla Sadar Dakshin,103,6,1,6
10,Daudkandi,0,0,0,33
11,Debidwar,0,1,0,21
12,Homna,0,0,0,23
13,Laksam,0,0,0,1
14,Monoharganj,1,0,0,2
15,Meghna,0,0,0,0
16,Muradnagar,0,0,0,1
17,Nangalkot,7,5,0,13
18,Titas,0,0,0,41
19,Total,321,342,2,541
