,0,1,2,3,4
0,Number of bakery and person engaged 2011,,,,
1,,,,,
2,Upazila,Unit,Person engaged - Family,Person engaged - Hired,Person engaged - Total
3,Adarsha Sadar,67,67,335,402
4,Barura,22,22,72,94
5,Brahmanpara,22,80,320,400
6,Burichang,50,50,200,250
7,Chandina,14,18,125,143
8,Chauddagram,25,6,65,71
9,Comilla Sadar Dakshin,12,36,48,84
10,Daudkandi,17,39,126,165
11,Debidwar,10,22,85,107
12,Homna,6,12,48,60
13,Laksam,23,25,124,149
14,Monoharganj,16,25,96,121
15,Meghna,6,6,32,38
16,Muradnagar,25,35,125,160
17,Nangalkot,27,27,235,262
18,Titas,5,7,33,40
19,Total,347,477,2069,2546
