,0,1,2,3,4,5
0,Employment status in handloom industry 2011,,,,,
1,,,,,,
2,Upazila,Number of handloom,Person engaged - Family member,Person engaged - Regular,Person engaged - Hired /Casual,Total
3,Adarsha Sadar,3,3,3,3,9
4,Barura,0,0,0,0,0
5,Brahmanpara,0,0,0,0,0
6,Burichang,0,0,0,0,0
7,Chandina,0,0,0,0,0
8,Chauddagram,0,0,0,0,0
9,Comilla Sadar Dakshin,1,4,4,0,8
10,Daudkandi,0,0,0,0,0
11,Debidwar,0,0,0,0,0
12,Homna,54,54,70,40,164
13,Laksam,0,0,0,0,0
14,Monoharganj,42,65,0,0,65
15,Meghna,0,0,0,0,0
16,Muradnagar,105,190,30,0,220
17,Nangalkot,0,0,0,0,0
18,Titas,0,0,0,0,0
19,Total,205,316,107,43,466
