,0,1,2,3,4,5,6
0,"Area and Production of jackfruit, banana and pineapple 2009-10",,,,,,
1,Area in acre & production in metric ton),,,,,,
2,Upazila/city corporation,Jackfruits Area,Jackfruits Production,Banana Area,Banana Production,Pineapple Area,Pineapple Production
3,Batiaghata	28,206,78,139,1,0,
4,Dacope	2,59,69,136,0,0,
5,Dighalia	49,462,115,575,0,0,
6,Dumuria	22,2311,274,23,10,51,
7,Khulna City Corporation	4,66,5,18,0,0,
8,Koyra	3,63,4,16,2,9,
9,Paikgachha	11,37,97,433,14,13,
10,Phultala	28,184,138,872,11,63,
11,Rupsa	69,169,95,1063,8,18,
12,Terokhada	42,59,384,1651,0,0,
13,Total	257,3617,1259,4925,46,155,
