,0,1,2,3
0,Number of deep tube-well scheme 2010-11,,,
1,Mymensingh,,,
2,,,,
3, Upazila,Number of deep tube-well - Commissioned,Number of deep tube-well - Operated,Area Irrigated (In acre)
4,Bhaluka,0,325,20933
5,Dhobaura,36,30,3085
6,Fulbaria,671,660,38236
7,Gaffargaon,0,1628,52000
8,Gauripur,47,43,2042
9,Haluaghat,78,156,6789
10,Ishwargonj,301,237,8064
11,Muktagacha,552,530,29052
12,Mymensingh Sadar,281,267,14919
13,Nandail,358,358,17008
14,Phulpur,0,44,739
15,Trishal,0,445,54877
16,Total,2324,4723,247744
