,0,1,2,3,4,5,6,7,8
0,"Number of kindergarten school (pre schooling), teacher and student 2011",,,,,,,,
1,Mymensingh,,,,,,,,
2,,,,,,,,,
3, Upazila,Number of kindergarten school,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
4,Bhaluka,122,351,503,854,5866,5997,11863,14
5,Dhubaura,7,15,14,29,754,807,1561,54
6,Fulbaria,47,22,28,50,1786,1594,3380,68
7,Gaffargaon,25,94,81,175,2410,1826,4236,24
8,Gauripur,37,85,213,298,2961,3300,6261,21
9,Phulpur,54,78,138,216,6968,7404,14372,67
10,Haluaghat,12,17,63,80,684,435,1119,14
11,Ishwargonj,24,83,124,207,1102,1347,2449,12
12,Muktagacha,22,59,37,86,902,896,1798,21
13,Nandail,50,108,150,258,2180,1691,3891,15
14,Mymensingh Sadar,152,342,825,1167,6303,6125,12428,11
15,Trishal,53,104,161,265,7059,7219,14278,54
16,Total,605,1358,2337,3685,38975,38641,77636,21
