,0,1,2,3,4,5
0,Daily average wage rate of non-agricultural labour 2011,,,,,
1,,,,,,
2,(Wage in taka) - Upazila,(Wage in taka) - Porter (coolee),(Wage in taka) - Garden labour male,(Wage in taka) - Garden female labour,(Wage in taka) - Other labour (Adult),(Wage in taka) - Other labour (Child)
3,Daulotpur,400,0,0,350,0
4,Gheor,250,250,200,200,100
5,Horirampur,350,0,0,300,200
6,Manikganj Sadar,500,300,200,200,150
7,Saturia,350,300,250,300,200
8,Shibalaya,300,0,0,300,150
9,Singair,300,250,150,200,100
10,Average,358,275,200,236,150
