,0,1,2,3,4
0,Area and production at tobacco in following years,,,,
1,,,,,
2,(Area in acre and production in metric ton) -  Upazila,(Area in acre and production in metric ton) - 2010-11 - Area,(Area in acre and production in metric ton) - 2010-11 - Production,(Area in acre and production in metric ton) - 2009-10 - Area,(Area in acre and production in metric ton) - 2009-10 - Production
3,Daulotpur,61,33,57,28
4,Gheor,34,21,53,34
5,Horirampur,0,0,0,0
6,Manikganj Sadar,2355,871,2420,918
7,Saturia,2340,1027,965,413
8,Shibalaya,23,12,75,45
9,Singair,0,0,0,0
10,Total,4813,1963,3570,1437
