,0,1,2,3,4
0,"Area and production at water melon, melon (bangi) in following years",,,,
1,,,,,
2,(Area in acre and production in metric ton) - Upazila,(Area in acre and production in metric ton) - 2010-11 - Area,(Area in acre and production in metric ton) - 2010-11 - Production,(Area in acre and production in metric ton) - 2009-10 - Area,(Area in acre and production in metric ton) - 2009-10 - Production
3,Chakaria,75,236,75,236
4,Cox's Bazar Sadar,660,3989,660,580
5,Kutubdia,970,8611,961,8520
6,Moheshkhali,8,9,8,9
7,Pekua,18,107,17,105
8,Ramu,1250,1500,1200,1400
9,Teknaf,65,55,64,55
10,Ukhia,26,153,25,153
11,Total,3070,14660,3009,11058
