,0,1,2,3,4
0,Broad classification of area 2011,,,,
1,(In sq. km.),,,,
2,Upazila,Total area,Land area,Reserve forest,Riverine Area
3,Bhaluka,444.05,350.11,92.75,1.19
4,Dhobaura,252.23,249.46,2.77,-
5,Fulbaria,398.70,374.46,14.76,9.48
6,Gaffargaon,398.30,391.82,0,6.48
7,Gauripur,276.74,275.65,0,1.09
8,Haluaghat,357.61,350.28,5.28,2.05
9,Ishwargonj,280.43,275.62,0,4.81
10,Muktagacha,314.70,282.35,30.95,1.40
11,Mymensingh Sadar,380.72,364.92,0,15.80
12,Nandail,326.37,325.10,0,1.27
13,Phulpur,626.20,565.52,0,60.68
14,Trishal,338.45,335.50,0.49,2.46
15,Total,4394.57,4140.79,147,106.71
