,0,1,2,3,4,5
0,"Number of hat-bazar, growth centre, hotel & restaurant 2011",,,,,
1,,,,,,
2,Upazila,Daily bazar,Weekly hat,Growth centre,Restaurant,Hotel (residential)
3,Assasuni,9,29,6,102,1
4,Debhata,11,4,4,72,1
5,Kalaroa,20,15,5,245,1
6,Kaliganj,11,38,6,75,5
7,Satkhira Sadar,31,21,6,375,13
8,Shyamnagar,14,31,6,106,8
9,Tala,40,2,6,135,1
10,Total,136,140,39,1110,30
