,0,1,2,3,4,5,6,7
0,"Number of pond, dighee, flood camps, shelter, cyclone shelter, stadium,  playground, park,  amusement park 2011",,,,,,,
1,,,,,,,,
2, Upazila, Pond, Dighee, River flow,Flood camp/ shelter,Cyclone shelter,Stadium/ playground,Park/ amusement park
3,Assasuni,4531,0,4,0,2,125,0
4,Debhata,5588,0,1,0,7,0,2
5,Kalaroa,7800,0,1,0,0,39,0
6,Kaliganj,11296,27,3,3,3,60,0
7,Satkhira Sadar,4261,0,1,0,26,59,2
8,Shyamnagar,6754,12,5,8,8,132,2
9,Tala,7957,0,2,9,2,230,0
10,Total,48187,39,17,20,48,645,6
