,0,1,2,3
0,Number of vocational institute by municipality 2011,,,
1,Satkhira,,,
2,,,,
3,Municipality,Number of institution,Number of teacher,Number of student
4,Kalaroa,0,0,0
5,Satkhira,1,16,260
6,Total,1,16,260
