,0,1,2,3
0,Number of co-operative society 2011,,,
1,Satkhira,,,
2,,,,
3,Upazila,Number,Number of employee,Number of client
4,Assasuni,282,21,10307
5,Debhata,111,5,2220
6,Kalaroa,352,46,21444
7,Kaliganj,188,237,20552
8,Satkhira Sadar,260,300,21511
9,Shyamnagar,266,113,42444
10,Tala,274,5,7550
11,Total,1733,727,126028
