,0,1,2,3,4
0,Number of cooperative society and member 2011,,,,
1,,,,,
2,Upazila,Number of co-operative society,Number of member - Male,Number of member - Female,Total
3,Begumganj,245,19478,945,20423
4,Chatkhil,114,4835,1233,6068
5,Companiganj,163,9321,978,10299
6,Hatiya,502,15300,1038,16338
7,Kabirhat,75,11125,635,11760
8,Noakhali Sadar,110,23499,2634,26133
9,Senbagh,114,2782,825,3607
10,Sonaimuri,228,17856,12144,30000
11,Subarnachar,218,9050,2037,11087
12,Total,1769,113246,22469,135715
