,0,1,2,3,4
0,"Number of registered rickshaw, van, easy-bike and auto-rickshaw 2011",,,,
1,Sylhet,,,,
2,,,,,
3,Upazila/City Corporation,Rickshaw,Van,Easy-bike and auto-rickshaw,Tempo
4,Balaganj,350,75,176,65
5,Beanibazar,1300,264,205,45
6,Bishwanath,1855,982,1285,678
7,Companiganj,750,71,50,67
8,Dakhin Surma,500,100,150,20
9,Fenchuganj,307,1017,270,187
10,Golapganj,280,200,100,80
11,Gowainghat,167,25,57,25
12,Jaintiapur,300,20,130,71
13,Kanaighat,500,100,150,20
14,Sylhet City Corporation,24431,500,1250,49
15,Sylhet Sadar,6213,190,893,679
16,Zakiganj,56,0,45,5
17,Total,37009,3544,4761,1991
