,0,1,2,3
0,Daily average wage rate of agricultural labour 2011,,,
1,Sylhet,,,
2,(Rate in Taka),,,
3,Upazila/City Corporation,Male,Female,Child (Child means under 15 years old)
4,Balaganj,250,200,150
5,Beanibazar,250,200,100
6,Bishwanath,200,150,150
7,Companiganj,250,200,100
8,Dakhin Surma,250,200,150
9,Fenchuganj,250,180,100
10,Golapganj,220,150,120
11,Gowainghat,300,250,150
12,Jaintiapur,250,200,120
13,Kanaighat,300,200,100
14,Sylhet City Corporation,0,0,0
15,Sylhet Sadar,250,180,100
16,Zakiganj,200,150,100
17,District Average,228,174,110
