,0,1,2,3,4
0,"Number of branches of specialized bank (Krishi, Co-operative etc.) 2011",,,,
1,Sylhet,,,,
2,,,,,
3,Upazila/City Corporation,Number of all branch,Number of employee,Number of saving A/C,Number of current A/C
4,Balaganj,3,18,9230,138
5,Beanibazar,3,13,12700,148
6,Bishwanath,14,131,34218,7942
7,Companiganj,2,10,11827,236
8,Dakhin Surma,1,6,4667,80
9,Fenchuganj,1,6,4138,60
10,Golapganj,1,6,6300,350
11,Gowainghat,1,8,7728,992
12,Jaintiapur,1,6,2927,92
13,Kanaighat,4,15,11012,513
14,Sylhet City Corporation,4,62,14577,2172
15,Sylhet Sadar,1,5,4983,29
16,Zakiganj,2,11,5450,179
17,Total,38.00,297.00,129757.00,12931.00
