,0,1,2,3,4
0,"Area and production at water melon, melon (bangi) in following years",,,,
1,,,,,
2,(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton)
3, Upazila,2010-11,2010-11,2009-10,2009-10
4, Upazila,Area,Production,Area,Production
5,Bagatipara,0,0,2,10
6,Baraigram,57,308,63,338
7,Gurudaspur,78,210,66,162
8,Lalpur,24,117,28,138
9,Natore Sadar,45,1440,50,1600
10,Singra,0,0,0,0
11,Total,204,2075,207,2238
