,0,1,2,3
0,Number of co-operative society 2011,,,
1,Upazila/City corporation,Number,Number of employee,Number of client
2,Anowara,358,136,10902
3,Banshkhali,262,26,8928
4,Boalkhali,300,35,10200
5,Chandanaish,137,64,10310
6,Chittagong City Corp.,187,689,25068
7,Fatikchhari,150,495,74400
8,Hathazari,180,134,31533
9,Lohagara,261,23,7778
10,Mirsharai,104,289,3731
11,Patiya,513,58,20100
12,Rangunia,72,79,9537
13,Raozan,124,5,8618
14,Sandwip,3,78,15800
15,Satkania,459,63,5420
16,Sitakunda,100,200,5671
17,Total,44,489,247996
