,0,1,2,3,4
0,Number of handloom establishment and loom 2011,,,,
1,Upazila/City corporation,Number of unit (factory),Number of loom,Number of loom,Number of loom
2,Upazila/City corporation,Number of unit (factory),Operational,Non-operational,Total
3,Anowara,0,0,0,0
4,Banshkhali,0,0,0,0
5,Boalkhali,0,0,0,0
6,Chandanaish,2,2,0,2
7,Chittagong City Corp.,0,0,0,0
8,Fatikchhari,0,0,0,0
9,Hathazari,0,0,0,0
10,Lohagara,0,0,0,0
11,Mirsharai,0,0,0,0
12,Patiya,0,0,0,0
13,Rangunia,0,0,0,0
14,Raozan,0,0,0,0
15,Sandwip,0,0,0,0
16,Satkania,0,0,0,0
17,Sitakunda,0,0,0,0
18,Total,2,2,0,2
