,0,1,2,3,4,5,6,7
0,"Number of pond, dighee, flood camps, shelter, cyclone shelter, stadium,  playground, park,  amusement park 2011",,,,,,,
1,Upazila/City corporation,"
Pond","
Dighee","
River flow",Flood camp/ shelter,Cyclone shelter,Stadium/ playground,"Park/
amusement park"
2,Anowara,6500,12,1,52,52,16,2
3,Banshkhali,3200,19,1,0,117,13,1
4,Boalkhali,4383,10,1,0,6,3,0
5,Chandanaish,3570,24,1,0,0,42,1
6,Chittagong City Corp.,234,13,5,16,37,59,11
7,Fatikchhari,4030,353,2,0,0,1,1
8,Hathazari,7708,850,1,0,0,187,0
9,Lohagara,2578,41,0,0,0,253,0
10,Mirsharai,13610,10,2,0,74,21,0
11,Patiya,518,45,1,0,12,6,2
12,Rangunia,3450,110,2,0,2,1,1
13,Raozan,4370,43,2,0,1,1,0
14,Sandwip,10339,0,0,270,12,2,0
15,Satkania,5186,18,1,0,6,102,0
16,Sitakunda,4208,18,1,0,59,31,1
17,Total,73884,1566,21,338,378,738,20
