,0,1,2,3,4,5,6
0,"Area and production of mango, litchi and blackberry 2010-11",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila/City corporation,Mango,Mango,Litchi,Litchi,Blackberry,Blackberry
3,Upazila/City corporation,Area,Production,Area,Production,Area,Production
4,Anowara,127,662,6,13,0,0
5,Banshkhali,10,1377,48,353,107,151
6,Boalkhali,5210,313,84,3,1020,101
7,Chandanaish,370,1487,370,469,24,229
8,Chittagong City Corp.,0,3,0,0,0,1
9,Fatikchhari,1270,5200,30,35,55,85
10,Hathazari,210,1800,50,44,0,0
11,Lohagara,272,448,16,19,116,162
12,Mirsharai,505,318,55,110,17,191
13,Patiya,2,104,1,5,1,18
14,Rangunia,221,94,70,167,114,107
15,Raozan,120,384,30,48,87,105
16,Sandwip,24,440,1585,24,1890,28
17,Satkania,130,1150,10,38,6,94
18,Sitakunda,20400,1359,307,21,2187,120
19,Total,28871,15138,2662,1348,5625,1391
