,0,1,2,3,4
0,"Number of branch of specialized (Krishi, Co-operative etc) bank 2011",,,,
1,,,,,
2,Upazila/City corporation,Number of branch,Number of employee,Number of savings A/C,Number of current A/C
3,Anowara,3,18,10154,212
4,Banshkhali,3,19,200029,206
5,Boalkhali,2,19,8910,660
6,Chandanaish,4,26,9012,286
7,Chittagong City Corp.,7,131,9696,4431
8,Fatikchhari,6,41,27459,161
9,Hathazari,4,40,26240,2256
10,Lohagara,1,5,5914,81
11,Mirsharai,6,67,18854,1666
12,Patiya,2,25,1413,323
13,Rangunia,4,26,20036,182
14,Raozan,0,0,0,0
15,Sandwip,3,18,2200,100
16,Satkania,2,14,4263,186
17,Sitakunda,4,33,1186,85
18,Total,51,482,345366,10835
