,0,1,2,3,4,5,6,7,8
0,"Number of registered primary school, teacher and student 2011",,,,,,,,
1,Pabna,,,,,,,,
2,,,,,,,,,
3,Upazila Upazila 1,Number of registered primary school Number of registered primary school 2,Number of teacher Male 3,Number of teacher Female 4,Number of teacher Total 5,Number of student Male 6,Number of student Female 7,Number of student Total 8,Student per teacher Student per teacher 9
4,Atgharia,32,73,43,116,4611,4579,9190,79
5,Bera,42,107,45,152,4902,5025,9927,65
6,Bhangura,52,84,124,208,4343,4704,9047,43
7,Chatmohar,57,154,47,201,4749,4887,9636,47
8,Faridpur,34,116,20,136,2547,2401,4948,37
9,Ishwardi,29,54,53,107,3302,2874,6176,58
10,Pabna Sadar,57,131,57,188,6512,7047,13559,72
11,Santhia,77,169,139,308,6440,5710,12150,39
12,Sujanagar,46,42,100,142,4890,4929,9819,69
13,Total,422,930,628,1558,42296,42156,84452,54
