,0,1,2,3,4,5
0,Upazilawise sanction post of Government employee by category 2011,,,,,
1,Pabna,,,,,
2,,,,,,
3,Upazila 1,Class I 2,Class II 3,Class III 4,Class IV 5,Number of total employee 6
4,Atgharia,25,26,130,60,241
5,Bera,40,12,814,62,928
6,Bhangura,34,33,495,62,664
7,Chatmohar,54,32,319,65,500
8,Faridpur,47,39,256,68,420
9,Ishwardi,66,37,249,137,489
10,Pabna Sadar,131,41,1126,150,1448
11,Santhia,45,37,473,65,680
12,Sujanagar,51,23,940,65,1129
13,Total,493,280,5502,734,7727
