,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001 & 2011 and number of voter 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2,Upazila,Population (000),Population (000),Population (000),Population (000),Literacy rate (%),Literacy rate (%),Literacy rate (%),Literacy rate (%),Number of voter (000),Number of voter (000),Number of voter (000)
3,Upazila,1981,1991,2001,2011,1981,1991,2001,2011,Male,Female,Total
4,Belkuchi,187,245,303,353,25.1,33.6,47.0,45.7,103,100,204
5,Chauhali,106,108,155,160,21.1,23.1,37.2,36.5,39,41,80
6,Kamarkhanda,86,106,128,138,21.2,26.2,42.6,46.2,42,42,84
7,Kazipur,214,235,267,275,16.6,20.5,38.3,37.5,84,88,172
8,Royganj,181,225,267,318,17,21.8,35.6,38.1,96,97,193
9,Shahjadpur,342,420,473,561,20.1,24.8,37.0,38.4,169,166,334
10,Sirajganj Sadar,340,389,484,555,24.8,29.8,47.4,48.0,166,167,333
11,Tarash,109,135,168,198,19.5,22.6,35.0,39.0,60,62,123
12,Ullahpara,313,399,449,539,19.8,32.2,39.6,51.6,163,164,327
13,Total,1878,2262,2694,3097,20.8,27.0,40.6,42.1,922,927,1850
