,0,1,2,3,4,5,6,7
0,"Number of municipality, union, mauza, mahalla and village 2011",,,,,,,
1,Number (As per Population census 2011),,,,,,,
2,Upazila,Municipality,Ward (PSA),Mahalla,Union,Mauza,Village,Depopulated mauza
3,Kamalnagar,0,0,0,9,33,33,0
4,Lakshmipur Sadar,1,12,22,21,226,258,2
5,Ramganj,1,9,18,10,122,134,3
6,Ramgati,1,9,11,8,50,39,23
7,Roypur,1,9,15,10,49,83,1
8,Total,4,39,66,58,480,547,29
