,0,1,2,3,4,5,6,7
0,Land utilization (temporary cropped area) 2008,,,,,,,
1,"
Upazila","
Current fallow",Temporary cropped area,Temporary cropped area,Temporary cropped area,Temporary cropped area,Temporary cropped area,"
Productivity of crop"
2,"
Upazila","
Current fallow",Single,Double,Triple,Net,Gross,"
Productivity of crop"
3,Dhaka Metropolitan,3331,41102,9451,3854,54407,71566,139
4,Dhamrai,167,24082,18208,2314,44604,67440,151
5,Dohar,267,10181,1277,1006,12464,15753,126
6,Keraniganj,271,8094,9476,1989,19559,33013,169
7,Nawabganj,188,23410,7711,1183,32304,42381,131
8,Savar,478,22822,3652,1204,27678,33738,122
9,Total,4703,129691,49775,11550,191016,263891,138
