,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,"
Upazila",Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry
2,"
Upazila","Weaving/
handloom",Handy,"Husking
crafts mill","Goor
processing","Biri
factory","Salt
processing","Dry fish
processing",Pottery,Others
3,Belkuchi,1702,175,1542,0,0,0,0,25,0
4,Chauhali,6994,73,72,0,0,0,0,4,0
5,Kamarkhanda,1237,0,0,3,2,0,0,42,0
6,Kazipur,2631,302,1206,0,0,0,0,5,0
7,Royganj,0,0,0,0,0,0,0,82,7
8,Shahjadpur,47900,4954,5600,0,0,0,0,108,50
9,Sirajganj Sadar,15916,21353,39,19,5,1,0,22,9764
10,Tarash,26,32,72,0,0,0,0,0,25
11,Ullahpara,10391,72,4315,5,0,0,0,61,76
12,Total,86797,26961,12846,27,7,1,0,349,9922
