,0,1,2
0,Numbers of money exchange agency 2011,,
1,Upazila,Number of money exchange agency,Number of employee
2,Belkuchi,0,0
3,Chauhali,0,0
4,Kamarkhanda,0,0
5,Kazipur,0,0
6,Royganj,0,0
7,Shahjadpur,0,0
8,Sirajganj Sadar,4,8
9,Tarash,0,0
10,Ullahpara,0,0
11,Total,4,8
