,0,1,2,3,4
0,"Number of branch of specialized bank (Krishi, co-operative etc.) 2011",,,,
1,Upazila,Number of all branches,Number of employees,Number of savings A/C,Number of current A/C
2,Basail,1,7,3365,56
3,Bhuapur,2,17,4691,91
4,Delduar,2,18,5482,65
5,Dhanbari,1,8,1514,146
6,Ghatail,2,17,11806,244
7,Gopalpur,4,27,35197,137
8,Kalihati,5,41,34095,703
9,Madhupur,4,34,16707,235
10,Mirzapur,3,25,28180,508
11,Nagarpur,4,24,33978,161
12,Sakhipur,3,27,21590,572
13,Tangail Sadar,8,50,45985,272
14,Total,39,295,242590,3190
