,0,1,2,3,4
0,Number of establishment and person engaged in cottage industry 2011,,,,
1,"
Upazila","
Number of unit",Person engaged,Person engaged,Person engaged
2,"
Upazila","
Number of unit",Family,Hired,Total
3,Basail,1284,1385,367,1752
4,Bhuapur,426,978,269,1247
5,Delduar,2669,5115,231,5346
6,Dhanbari,51,98,32,130
7,Ghatail,42,63,42,105
8,Gopalpur,311,498,357,849
9,Kalihati,1781,5314,0,5314
10,Madhupur,281,325,560,885
11,Mirzapur,1413,1736,1378,3114
12,Nagarpur,327,648,74,722
13,Sakhipur,551,1173,100,1273
14,Tangail Sadar,65,87,3750,3837
15,Total,9201,17420,7160,24574
