,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from all private commercial bank 2011",,,,,,,,,,,
1,"

Upazila",Number of branche of all private commercial banks,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
2,"

Upazila",Number of branche of all private commercial banks,Agriculture debt,Agriculture debt,Industry debt,Industry debt,Others debt,Others debt,"Number of
borrower","Number of
borrower",Total debt (crore),Total debt (crore)
3,"

Upazila",Number of branche of all private commercial banks,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
4,Basail,1,0,0,0,0,1931,1932,1931,1932,3.59,3.61
5,Bhuapur,1,0,0,0,0,29,0,29,0,1.6,0
6,Delduar,1,58,0,0,0,70,9,128,9,1,0.5
7,Dhanbari,1,3,0,0,0,45,2,48,2,4.775,0.03
8,Ghatail,7,4392,527,29,0,5634,926,10067,2191,20.69,3.9
9,Gopalpur,1,38,0,0,0,74,0,112,0,7.64,0
10,Kalihati,14,1977,201,1122,216,232,0,3331,433,14.22,1.62
11,Madhupur,3,315,2194,0,0,428,35,743,2229,45.92,5.3
12,Mirzapur,3,562,65,0,0,31,5,593,76,0.95,2.87
13,Nagarpur,4,2316,1,0,0,963,8,3042,9,7.089,0.215
14,Sakhipur,2,2,0,0,0,221,1,223,1,10.89,0.02
15,Tangail Sadar,18,36,72,0,0,72,145,108,217,5413,10827
16,Total,56,9699,3060,1151,216,9730,3063,20355,7099,5531,10845
