,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Rupali and Agrani bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Rupali bank,Rupali bank,Rupali bank,Rupali bank,Rupali bank,Agrani bank,Agrani bank,Agrani bank,Agrani bank,Agrani bank
3, Upazila,Number of branch,Account,Account,Account,Account,Number of branch,Account,Account,Account,Account
4, Upazila,Number of branch,S.D,C.D,F.D,S.T.D,Number of branch,S.D,C.D,F.D,S.T.D
5,Chhagalnaiya,1,0,2,30,0,1,7134,340,97,13
6,Daganbhuiyan,0,0,0,0,0,2,8780,788,45,4
7,Feni Sadar,7,24267,814,914,62,2,12291,640,323,40
8,Fulgazi,0,0,0,0,0,0,0,0,0,0
9,Parshuram,0,0,0,0,0,1,5448,1217,97,15
10,Sonagazi,0,0,0,0,0,1,6758,342,74,2
11,Total,8,24267,816,944,62,7,40411,3327,636,74
