,0,1,2,3,4
0,"Area and production at water melon, melon (bangi) in following years",,,,
1,(Area in acre and production in metric ton),,,,
2,Upazila/City corporation,Year 2010-11 Area,Year 2010-11 Production,Year 2009-10 Area,Year 2009-10 Production
3,Balaganj,0,0,0,0
4,Beanibazar,10,17,8,15
5,Bishwanath,0,0,0,0
6,Companiganj,11,11,10,10
7,Dakhin surma,0,0,0,0
8,Fenchuganj,31,110.6,29,98.3
9,Golapganj,0,0,0,0
10,Gowainghat,40,145.6,62,187.24
11,Jaintiapur,800,3.68,798,3.6
12,Kanaighat,0,0,0,0
13,Sylhet city corporation,0,0,0,0
14,Sylhet sadar,0,0,0,0
15,Zakiganj,0,0,0,0
16,Total,892,287.88,907,314.14
