,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry Weaving/ handloom,Small scale and cottage industry Handy,Small scale and cottage industry Husking crafts mill,Small scale and cottage industry Goor processing,Small scale and cottage industry Biri factory,Small scale and cottage industry Salt processing,Small scale and cottage industry Dry fish processing,Small scale and cottage industry Pottery,Small scale and cottage industry Others
3,Harinakunda,158,68,102,133,0,0,0,201,13
4,Jhenaidah Sadar,315,335,510,181,0,0,0,210,0
5,Kaliganj,333,180,276,582,1,0,0,155,55
6,Kotchandpur,22,0,142,58,0,0,0,57,0
7,Shailkupa,1568,20,482,82,0,0,0,71,0
8,Mahespur,52,289,315,210,0,0,0,53,22
9,Total,2448,892,1827,1246,1,0,0,747,90
