,0,1,2,3,4,5
0,"Name of land, river port, important or historical, tourist places, objects, important, famous crop or food production 2011",,,,,
1,"

Upazila","
Name of land/river port","
Name of important or historical/tourist place/objects","Name of important
/famous crop or food production",Customer care service provider’s name of cell phone operators,"Distance between district head quarter & upazila by road
(km)"
2,Bishwamvarpur,-,-,Paddy,GrameenPhone,17
3,Chhatak,Chhatak,Cement Factory,Satkora,GrameenPhone,47
4,Dakshin Sunamganj,-,-,-,GrameenPhone,10
5,Derai,-,-,-,GrameenPhone,38
6,Dharmapasha,-,Somain Jonidori Bari,-,GrameenPhone,95
7,Doarabazar,-,Baghtola,Paddy,GrameenPhone	30,GrameenPhone	30
8,Jagannathpur,Raniganj,Hashim Shah Mazar,-,GrameenPhone	39,GrameenPhone	39
9,Jamalganj,-,-,-,GrameenPhone	30,GrameenPhone	30
10,Shalla,-,-,Paddy,GrameenPhone	67,GrameenPhone	67
11,Sunamganj Sadar,-,Hason Raza Bari,Paddy,GrameenPhone	-,GrameenPhone	-
12,Tahirpur,-,Pona Tirtha,Fish,GrameenPhone	25,GrameenPhone	25
