,0,1,2,3,4,5
0,Number of family planning personnel working by municipality 2011,,,,,
1,Municipality,Doctor,"Family planning
inspector","Family planning
assistant","Family planning
visitor","Midwife/ birth
attendant (Dai)"
2,Alamdanga,0,0,4,1,10
3,Chuadanga Sadar,3,1,3,6,2
4,Darshana,1,0,6,0,4
5,Jibonnagar,0,1,1,1,10
6,Total,4,2,14,8,26
