,0,1,2
0,"Number of railway station, steamer, launch station and bus stand 2011",,
1,Upazila,Railway station,Bus stand
2,Alamdanga,2,18
3,Chuadanga Sadar,2,9
4,Damurhuda,3,2
5,Jibonnagar,2,7
6,Total,9,36
