,0,1,2,3
0,Number of employee by type 2011,,,
1,,,,
2,Upazila,Police personnel,Ansar personnel,VDP personnel
3,Alamdanga,37,516,10496
4,Chuadanga Sadar,42,16,21
5,Damurhuda,103,355,3936
6,Jibonnagar,62,260,6144
7,Total,244,1147,20597
