,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Sonali bank,Sonali bank,Sonali bank,Sonali bank,Sonali bank,Janata bank,Janata bank,Janata bank,Janata bank,Janata bank
3, Upazila,Number of branch,Account,Account,Account,Account,Number of branch,Account,Account,Account,Account
4, Upazila,Number of branch,S.D,C.D,F.D,S.T.D,Number of branch,S.D,C.D,F.D,S.T.D
5,Kalkini,1,1050,15,110,20,1,0,251,70,13
6,Madaripur Sadar,5,22653,79,435,111,4,85335,4052,682,141
7,Rajoir,2,0,0,789,103,0,0,0,0,0
8,Shibchar,2,1995,3,460,68,1,1,183,14,4
9,Total,10,25698,97,1794,302,6,85336,4486,766,158
