,0,1,2,3,4,5
0,Sanction post of Government employee by category 2011,,,,,
1,Rajshahi,,,,,
2,,,,,,
3,Upazila/city corporation,Class-I,Class-II,Class-III,Class-IV,Number of total employee
4,Bagha,48,35,286,141,510
5,Baghmara,55,54,1062,123,1294
6,Charghat,257,9,920,92,1278
7,Durgapur,33,13,709,37,793
8,Godagari,32,24,774,147,977
9,Mohanpur,24,19,600,61,704
10,Paba,43,28,346,163,580
11,Puthia,52,24,621,103,800
12,Rajshahi City Corporation,1744,679,9945,3535,15903
13,Tanore,49,14,298,79,440
14,Total,2337,899,15561,4481,23279
