,0,1,2,3,4,5,6
0,"Area and production of pumpkin, parble (potol) and cabbage 2009-10",,,,,,
1,Panchagor,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3,Upazila,Pumpkin Area,Pumpkin Production,Parble (potol) Area,Parble (potol) Production,Cabbage Area,Cabbage Production
4,Atwari,35.6,90.8,5.5,4.53,46.7,27.21
5,Boda,104,183,47,84.06,190,6.65
6,Debiganj,128,703,45,56,245,1206
7,Panchagarh Sadar,60,69,80,65,182,321
8,Tentulia,80,186,0,0,185,1244
9,Total,407.6,1231.8,177.5,209.59,848.7,2804.86
