,0,1,2,3,4,5,6,7
0,Average price of selected item 2011,,,,,,,
1,"(Price unit per kg, taka)",,,,,,,
2,Upazila,Fine rice (minicate),Medium rice,Coarse rice (normal),Wheat,Coarse flour (Aata),Potato,Soyabean oil
3,Belkuchi,43,34,30,18,27,15,120
4,Chauhali,42,30,25,21,29,15,130
5,Kamarkhanda,48,32,27,21,25,10,122
6,Kazipur,42,35,29,30,35,12,140
7,Royganj,44,35,27,21,27,13,135
8,Shahjadpur,40,33,30,22,30,12,130
9,Sirajganj Sadar,45,38,29,18,26,14,138
10,Tarash,40,32,27,18,26,12,103
11,Ullahpara,39,32,27,20,28,10,134
12,Average,43,33,28,21,28,13,128
