,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry - Weaving/ handloom,Small scale and cottage industry - Handy,Small scale and cottage industry - Husking crafts mill,Small scale and cottage industry - Goor processing,Small scale and cottage industry - Biri factory,Small scale and cottage industry - Salt processing,Small scale and cottage industry - Dry fish processing,Small scale and cottage industry - Pottery,Small scale and cottage industry - Others
3,Bhurungamari,15,33,1875,0,0,0,0,17,0
4,Char Rajibpur,0,0,0,0,0,0,0,0,0
5,Chilmari,55,0,26,2,0,0,0,10,15
6,Kurigram Sadar,0,8,48,12,1,0,0,460,186
7,Nageshwari,0,0,0,0,0,0,0,15,5
8,Phulbari,0,0,103,3,0,0,0,18,0
9,Rajarhat,0,0,13,0,0,0,0,50,0
10,Raumari,210,63,12,30,0,0,0,0,0
11,Ulipur,55,0,235,0,1,0,0,60,35
12,Total,335,104,2312,47,2,0,0,630,241
