,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Sonali bank - Number of  branch,Sonali bank - Account - S.D,Sonali bank - Account - C.D,Sonali bank - Account - F.D,Sonali bank - Account - S.T.D,Janata bank - Number of  branch,Janata bank - Account - S.D,Janata bank - Account - C.D,Janata bank - Account - F.D,Janata bank - Account - S.T.D
3,Baghaichhari,1,6975,692,20,35,0,0,0,0,0
4,Barkal,1,120,35,5,3,0,0,0,0,0
5,Belai Chhari,1,125,36,23,7,0,0,0,0,0
6,Jurai Chhari,1,148,37,23,11,0,0,0,0,0
7,Kaptai,3,8810,732,231,62,1,1342,132,29,15
8,Kawkhali,2,283,49,16,6,0,0,0,0,0
9,Langadu,1,1142,136,15,0,0,0,0,0,0
10,Naniarchar,1,1519,342,22,15,0,0,0,0,0
11,Rangamati Sadar,3,15436,1973,206,181,1,2150,196,42,30
12,Rajasthali,1,1459,8,25,0,0,0,0,0,0
13,Total,15,36017,4040,586,320,2,3492,328,71,45
