,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from private commercial bank 2011",,,,,,,,,,,
1,"

Upazila",Number of branch of all private commercial banks,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
2,"

Upazila",Number of branch of all private commercial banks,"Agriculture
debt","Agriculture
debt",Industry debt,Industry debt,Others debt,Others debt,"Number of
borrower","Number of
borrower","Total debt
(crore)","Total debt
(crore)"
3,"

Upazila",Number of branch of all private commercial banks,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
4,Kamalnagar,0,0,0,0,0,0,0,0,0,0,0
5,Lakshmipur Sadar,16,32623,342,10,0,4356,3168,36989,3510,36.49,25.22
6,Ramganj,7,447,81602,8,3,660,30,1115,81635,0.49,36.81
7,Ramgati,0,0,0,0,0,0,0,0,0,0,0
8,Roypur,10,588,1602,0,0,1452,17,2040,1619,77.59,3.64
9,Total,33,33658,83546,18,3,6468,3215,40144,86764,114.57,65.67
