,0,1,2,3,4,5,6,7,8,9,10
0,"Number of primary school (class I-V), teacher and student by municipality, city corporation 2011",,,,,,,,,,
1,,,,,,,,,,,
2, Municipality,Primary school - Govt.,Primary school - Non- govt.,Primary school - Total,Number of teacher - Govt.,Number of teacher - Non- govt.,Number of teacher - Total,Number of student - Govt.,Number of student - Non- govt.,Number of student - Total,Student per teacher
3,Bakerganj,3,1,4,31,4,35,1368,164,1532,43
4,Banaripara,1,0,1,13,0,13,653,0,653,50
5,Barisal city,56,13,69,448,58,506,20440,4205,24645,49
6,Gaurnadi,16,4,20,75,22,97,2820,1032,3852,40
7,Mehendiganj,10,9,19,73,28,101,3819,1720,5549,55
8,Muladi,7,3,10,44,12,56,1912,448,2360,42
9,Total,93,30,123,684,124,808,31012,7569,38591,48
