,0,1,2,3
0,Length of railway and water way 2011,,,
1,Lakshmipur,,,
2,(Kilometer),,,
3,Upazila,"Total Railway (All-B.G., M.G.  Duel Gage)",Water way in monsoon (River + Canal),Water way round the Year (River + Canal)
4,Kamalnagar,0,24.71,24.71
5,Lakshmipur Sadar,0,2.5,4.86
6,Ramganj,0,36.4,112
7,Ramgati,0,44,24
8,Roypur,0,14.6,24
9,Total,0,122.21,189.57
