,0,1,2,3,4,5
0,Cropped area (permanent + temporary) sprayed with plant protection measures 2008,,,,,
1,Lakshmipur,,,,,
2,,,,,,
3,Upazila,Total farm holding Number,Total farm holding Cropped area,Spraying farm holding Number,Spraying farm holding Cropped area,Reporting area sprayed
4,Kamalnagar,24358,28996,26005,23240,9000
5,Lakshmipur Sadar,85692,60545,130462,90119,78208
6,Ramganj,38695,22815,22168,20354,1540
7,Ramgati,32787,37218,14863,2217,1152
8,Roypur,33934,22296,11200,13700,210
9,Total,215466,171870,204698,149630,90110
