,0,1,2,3
0,"Number of railway station, steamer, launch station and bus stand 2011",,,
1,Upazila,Railway station,Steamer/launch station,Bus stand
2,Bholahat,0,1,3
3,Chapai Nawabganj Sadar,2,0,3
4,Gomastapur,1,3,3
5,Nachole,3,0,1
6,Shibganj,0,0,4
7,Total,6,4,14
