,0,1,2,3,4,5,6
0,"Area and production of papaya, guava, lime and lemon 2010-11",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Papaya - Area,Papaya - Production,Guava - Area,Guava - Production,Lime and lemon - Area,Lime and lemon - Production
3,Begumganj,-,63,-,254,-,18
4,Chatkhil,-,179,-,34,-,10
5,Companiganj,-,179,-,34,-,186
6,Hatiya,-,849,-,56,-,54
7,Kabirhat,-,25,-,44,-,10
8,Noakhali Sadar,-,151,-,296,-,68
9,Senbagh,-,59,-,55,-,44
10,Sonaimuri,-,58,-,63,-,10
11,Subarnachar,-,15,-,23,-,9
12,Total,-,1578,-,859,-,409
